state,user,2020,2021,2022,2023,2024
Arizona,Delivered via GGMC Diversion 13 15 14 17 37 41 8 33 13 22 16 13 242,,,,,224
Arizona,"Red River Land Company, LLC",215,213,207,,214
Arizona,Delivered via GGMC Diversion 18 21 39 32 96 33 0 35 15 12 18 6 325,,,211,,
Arizona,Bishop Family Trust,,,197,117,142
Arizona,Power,32,170,,,
Arizona,Armon Curtis,112,162,115,100,130
Arizona,Cibola Sportsmans Club,,,147,97,111
Arizona,Delivered via GGMC Diversion 14 7 8 0 48 36 8 22 16 23 23 6 211,,,,137,
Arizona,Yuma Union High School District,118,117,106,43,72
Arizona,Griffin Ranches (PPR No. 7),79,98,115,89,116
Arizona,Power 6,,,,106,77
Arizona,Power 4,,,104,,
Arizona,Bureau of Reclamation's Yuma Area Office,80,95,61,96,72
Arizona,Milton Phillips (PPR No.7),77,45,44,,
Arizona,Crystal Beach Water Conservation District,73,73,73,73,73
Arizona,Cathcarts,,,66,5,3
Arizona,"Western Water, LLC",60,64,64,31,26
Arizona,R. Griffin,53,31,,,
California,** California TOTAL **,4059911,4404727,4424247,3699155,3943741
California,"ICS Delivery (MWD) 111,392",,,4424247,,
California,DCP Contribution 16 0,,4404727,,,
California,DCP Contribution 11 0,4059911,,,,
California,"System Conservation Water - Quechan Indian Tribe (Fort Yuma Indian Reservation)/MWD 5,27 (13,000)",,,,,3943741
California,"Other Conserved Water Left in Lake Mead 5,27 (25,066)",,,,3699155,
California,Total IID,2493623,2557242,2577164,2417024,2311905
California,"DCP Contribution (CAWCD) 7 (180,608)",2470776,,,,
California,"DCP Contribution (CAWCD) 10 (203,392)",,2425736,,,
California,"ICS Creation (GRIC) 14 (78,565)",,,2014176,,
California,"System Conservation Water - YMIDD 5,17 (21,657)",,,,,1934518
California,"System Conservation Water - YMIDD 5,16 (21,828)",,,,1889517,
California,The Metropolitan Water District of Southern California,815618,1075563,1127137,661500,957797
California,Palo Verde Irrigation District,346085,368879,333157,282516,307564
California,Coachella Valley Water District,350618,351904,330387,286590,318380
California,"DCP Contribution (SNWA) 12 (8,000)",255568,,,,
California,"DCP Contribution (SNWA) 17 (8,000)",,242168,,,
California,"ICS Creation (SNWA) 14 (55,330)",,,223670,,
California,"System Conservation Water - SNWA 5,30 (74,572)",,,,,212428
California,"Other Conserved Water Left in Lake Mead 5,30 (88,156)",,,,186844,
California,Imperial Irrigation District,137933,133109,113330,111797,127245
California,Total Yuma Project Reservation Division,40586,37514,41254,36333,33213
California,"MWD (56,200 AF), and Coachella Canal Lining Project - SDCWA Exchange with MWD (21,500 AF).",10736,10376,17533,2023,
California,Fort Mojave Indian Reservation,7055,7042,6694,6480,5899
California,"Arizona State Land Department Trust Lands Diversion 5 236 287 399 425 525 628 681 663 516 436 310 307 5,413",,,,,2993
California,"Arizona State Land Department Trust Lands Diversion 5 200 246 336 366 445 538 590 578 454 379 263 259 4,654",,,2574,,
California,Ranch 17,1978,2332,2318,2414,2197
California,"Arizona State Land Department Trust Lands Diversion 5 179 218 295 323 390 473 516 496 396 333 236 230 4,085",,,,2258,
California,report.,,,2022,2023,2024
California,Operations.,,2021,,,
California,Lower Basin Drought Contingency Operations.,2020,,,,
California,Colorado River Indian Reservation,787,709,1751,2013,1928
California,"23 Value shown includes 2,574 AF of consumptive use on the Yuma Island by users that may not presently hold an entitlement to Colorado River water. Pursuant to Section III.B of the Settlement Agreement",,,1931,,
California,"28 Value shown includes 2,258 AF of consumptive use on the Yuma Island by users that may not presently hold an entitlement to Colorado River water. Pursuant to Section III.B of the Settlement Agreementdated",,,,1931,
California,"28 Value shown includes 2,993 AF of consumptive use on the Yuma Island by users that may not presently hold an entitlement to Colorado River water. Pursuant to Section III.B of the Settlement Agreement dated",,,,,1931
California,"Arizona State Land Department Trust Lands Diversion 6 135 174 238 262 321 381 412 393 314 259 187 185 3,261",1804,,,,
California,"Arizona State Land Department Trust Lands Diversion 5 126 154 213 228 278 340 373 356 281 236 169 166 2,920",,1615,,,
California,City of Needles,942,1140,1122,1046,1146
California,Bureau of Land Management,137,143,117,349,118
California,Chemehuevi Indian Reservation,191,188,173,214,237
California,Non-Federal Subcontractors to the LCWSP,178,181,181,181,181
California,Pacific Gas and Electric Company,139,137,80,104,55
California,City of Winterhaven,59,49,44,25,25
California,Southern California Gas Company,22,11,34,50,43
Nevada,Total Lower Division States,6786255,7072631,6662093,5775516,6090687
Nevada,** Nevada TOTAL **,255568,242168,223670,186844,212428
Nevada,City of Henderson,16125,13258,5675,,
Nevada,Total Non-Federal Contractors',9863,9857,9880,9651,9882
Nevada,Basic Water Company,4317,4574,1966,,
Nevada,Fort Mojave Indian Reservation,2652,3039,2820,2898,2716
Nevada,Big Bend Water District,1782,1487,1471,1424,1547
Nevada,Pacific Coast Building Products,925,927,916,90,899
Nevada,Total Federal Contractors',137,143,117,349,118
Nevada,National Park Service,174,192,158,9,156
